id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
19243707,Very clean house owner living in the house,4546050,Margarita,,West Roxbury,42.27942,-71.15946,Private room,55,2,16,04/15/2019,0.77,2,278
19247246,Sunny 2BR in Back Bay by Sonder,12243051,Sonder,,Back Bay,42.35236,-71.07389,Entire home/apt,336,2,28,04/19/2019,1.21,299,48
19248168,Cozy 1 bedroom apartment in Roslindale,129640002,John,,Roslindale,42.28153,-71.13675,Entire home/apt,86,2,54,05/09/2019,2.37,1,7
19251397,Gigi's Hospitality Home,134810492,Gigi,,Hyde Park,42.2708,-71.11835,Private room,96,1,0,,,1,0
19265709,Unbeatable Two Bed on Garrison Street,4962900,Stay Alfred,,Back Bay,42.34505,-71.08016,Entire home/apt,999,1,10,03/31/2019,0.48,43,50
19265951,Comfortable Condo Near Fenway Park!,4962900,Stay Alfred,,Back Bay,42.34636,-71.07994,Entire home/apt,999,1,10,04/27/2019,0.48,43,16
19269439,Amazing New One Bed Boston's Oldest Neighborhood,1118374,Scott,,North End,42.36485,-71.05602,Entire home/apt,97,1,188,05/01/2019,8.07,31,348
19290895,Quaint Beacon Hill| Beautifully Charming #8 1BR,814298,Brent,,Beacon Hill,42.35791,-71.07207,Entire home/apt,201,2,36,04/01/2019,1.68,89,67
19291138,Dalton Street 1bd Luxury Apartment,22541573,Ken,,Back Bay,42.34686,-71.08418,Entire home/apt,239,30,0,,,17,365
19291771,Modern Charles in Beacon Hill|1BR 1BA #6,814298,Brent,,Beacon Hill,42.3596,-71.06982,Entire home/apt,201,2,26,04/22/2019,1.33,89,52
19292171,Urban|Historic Charles Beacon Hill|1BR 1BA #4,814298,Brent,,Beacon Hill,42.35802,-71.06975,Entire home/apt,201,2,39,04/18/2019,1.79,89,69
19294099,Beautiful room in Jamaica Plain MA,135109301,Cannaan And Lorraine,,Jamaica Plain,42.3219,-71.1039,Private room,58,1,181,05/16/2019,7.78,1,102
19296973,STAY IN BOSTON AIRBNB HARBORSIDE CONDO #3C,134113437,Robert,,East Boston,42.36385,-71.02949,Entire home/apt,249,2,60,04/29/2019,5.13,4,319
19303637,Beautiful Bedroom Next to Roxbury Crossing T Stop,83905381,Allen,,Roxbury,42.32839,-71.0947,Private room,57,1,3,07/01/2017,0.13,1,0
19307193,Beacon Hill Historic Charles|1BR 1BA #2,814298,Brent,,Beacon Hill,42.35885,-71.07051,Entire home/apt,201,2,44,05/02/2019,1.91,89,71
19308245,Quaint Cute Historic Charles|Studio #9,814298,Brent,,Beacon Hill,42.35909,-71.07116,Entire home/apt,180,2,33,04/24/2019,1.46,89,93
19308998,Modern in Historic Charles|Designed Studio #7,814298,Brent,,Beacon Hill,42.35945,-71.07205,Entire home/apt,180,2,16,04/09/2019,0.71,89,95
19309417,BCEC with Parking:South Boston Loft,135141191,Tim,,South Boston,42.33487,-71.05511,Entire home/apt,375,2,76,05/10/2019,3.39,1,50
19309434,Charming Charles|Historic Beacon Hill|Studio #5,814298,Brent,,Beacon Hill,42.35928,-71.0715,Entire home/apt,180,2,27,05/01/2019,1.38,89,127
19309861,On the Hill|Historic Boston|Studio #3,814298,Brent,,Beacon Hill,42.3575,-71.0718,Entire home/apt,180,2,19,04/25/2019,0.88,89,112
19310183,Awesome Family Spot  |  One Stop to Downtown!,18275791,Rob,,East Boston,42.36595,-71.0318,Entire home/apt,225,2,15,05/12/2019,0.67,1,0
19311820,Gorgeous Historic Home Minutes from Downtown,314576,Josh,,Jamaica Plain,42.3102,-71.09904,Entire home/apt,389,3,1,08/30/2017,0.05,2,0
19315157,Smart Home w/City View Near Airport & Downtown,74019501,Adam,,East Boston,42.37618,-71.03302,Private room,99,1,278,05/16/2019,12,1,278
19316661,Fenway Park ★ One free parking spot ★ Walk,47584294,"Kevin, Jessy, And Diego",,Fenway,42.34187,-71.09803,Entire home/apt,225,2,167,05/14/2019,7.31,10,301
19323221,Near Downtown! ★ 1 Free parking spot ★ Fenway Park,47584294,"Kevin, Jessy, And Diego",,Fenway,42.34373,-71.09844,Entire home/apt,229,2,166,04/27/2019,7.29,10,329
